age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
0,,200681,Some-college,10,Never-married,,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,2,United-States,<=50K
1,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,>50K
0,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
3,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
3,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,<=50K
2,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,4,0,2,United-States,>50K
3,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
2,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,>50K
4,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,3,United-States,<=50K
3,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,3,United-States,>50K
2,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,England,<=50K
4,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
3,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,2,United-States,>50K
0,,304873,10th,6,Never-married,,Own-child,White,Female,4,0,1,United-States,<=50K
1,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
1,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,>50K
1,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2,2,United-States,<=50K
2,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,1,United-States,<=50K
2,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,2,United-States,<=50K
2,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Iran,>50K
1,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
1,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
0,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,Mexico,<=50K
2,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,>50K
4,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
3,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,Mexico,<=50K
1,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K
3,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,3,United-States,<=50K
1,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,2,England,<=50K
2,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
3,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
4,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
3,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,>50K
1,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
1,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
2,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,United-States,>50K
1,Private,633742,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
2,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,>50K
2,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
2,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,1,United-States,<=50K
0,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
3,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
0,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
4,Self-emp-inc,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,4,0,1,United-States,>50K
2,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
1,Private,153790,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
3,Self-emp-inc,125417,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
3,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,182609,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Poland,<=50K
2,Private,109434,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
4,,187656,1st-4th,2,Divorced,,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Local-gov,140359,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,243313,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
4,,24215,10th,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,United-States,<=50K
4,Self-emp-not-inc,167687,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,3,United-States,<=50K
4,Private,314209,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,Columbia,<=50K
2,Private,130408,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
1,Private,110978,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,2,United-States,<=50K
1,Private,76714,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,>50K
2,Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
0,State-gov,273905,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,179488,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,2,2,United-States,<=50K
4,Private,236596,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
2,Private,207578,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,3,3,United-States,>50K
4,Private,259014,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,<=50K
0,Private,117789,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,187666,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Private,204518,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,98092,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
0,,218956,Some-college,10,Never-married,,Own-child,White,Male,0,0,1,Canada,<=50K
0,Private,191260,9th,5,Never-married,Other-service,Own-child,White,Male,1,0,1,United-States,<=50K
1,Local-gov,209109,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,70377,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,190174,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,34918,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,Germany,<=50K
0,Private,205759,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
4,Federal-gov,425161,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,4,0,2,United-States,>50K
2,Private,220531,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
3,Private,193884,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Ecuador,<=50K
1,Private,127595,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,248402,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female,0,0,2,United-States,<=50K
3,Private,146268,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,3,0,2,United-States,>50K
0,Private,153718,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,1,United-States,<=50K
0,Private,303296,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,2,Laos,<=50K
2,Private,173321,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,193945,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,83082,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,<=50K
1,Private,193815,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,Private,59306,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,,860348,Some-college,10,Never-married,,Own-child,Black,Female,0,0,1,United-States,<=50K
0,Private,191954,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,399087,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,2,Mexico,<=50K
1,Private,423158,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Private,159841,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Private,50356,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,3,United-States,<=50K
1,Private,186110,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,200381,11th,7,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Self-emp-not-inc,174309,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
4,Self-emp-not-inc,78383,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,321171,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,206565,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
3,Private,178686,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Local-gov,98545,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,242606,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,94936,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,296478,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,2,United-States,>50K
2,State-gov,119272,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,2,United-States,>50K
1,Private,85043,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,0,United-States,<=50K
0,State-gov,293364,Some-college,10,Never-married,Protective-serv,Own-child,Black,Female,0,0,2,United-States,<=50K
2,Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,,151989,Assoc-voc,11,Divorced,,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Private,101128,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,1,Iran,<=50K
1,Private,156464,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,192262,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,111363,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
3,Local-gov,329752,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,<=50K
2,Federal-gov,95432,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
4,Private,270092,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
4,Private,212448,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,>50K
2,Private,481060,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Federal-gov,185885,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,0,United-States,<=50K
2,Private,160323,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Local-gov,350845,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
3,Private,174319,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,4,0,United-States,>50K
0,Private,25429,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
0,Private,232392,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,2,United-States,<=50K
2,Private,115562,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,96975,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,2,United-States,<=50K
0,,137300,HS-grad,9,Never-married,,Other-relative,White,Female,0,0,1,United-States,<=50K
1,Private,108574,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,110145,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,317253,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
1,,123147,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,2,2,United-States,>50K
1,Private,364657,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,241951,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,2,United-States,<=50K
1,Private,118500,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Private,188386,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
1,Private,92440,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,>50K
0,Private,175024,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,1,0,0,United-States,<=50K
1,State-gov,92003,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
1,Private,188401,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,228528,10th,6,Never-married,Craft-repair,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Local-gov,284843,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,1,0,3,United-States,<=50K
1,Local-gov,117018,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Local-gov,340148,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
2,Private,116632,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
0,Private,146538,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
0,,258872,11th,7,Never-married,,Own-child,White,Female,0,0,0,United-States,<=50K
0,Private,206399,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,2,United-States,<=50K
2,Self-emp-inc,197332,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
4,Private,245062,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
2,Private,197583,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,,>50K
1,Private,180374,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,<=50K
2,Private,351299,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,3,United-States,<=50K
1,,115745,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,193374,1st-4th,2,Married-spouse-absent,Craft-repair,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,170070,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,0,United-States,<=50K
2,Private,33983,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,192776,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,3,2,United-States,>50K
1,Private,118551,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,0,United-States,>50K
1,Private,285020,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,303990,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,281432,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,<=50K
0,Private,197904,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Private,111746,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,Portugal,<=50K
1,State-gov,70100,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,<=50K
2,Private,193626,HS-grad,9,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Local-gov,286967,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,164427,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,347934,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
1,Private,32220,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,187251,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Private,178107,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,<=50K
2,Private,343121,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,64293,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Local-gov,324960,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,2,Poland,<=50K
4,Local-gov,114060,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,48925,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,180980,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,2,France,<=50K
0,Private,181054,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,388093,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,249609,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,0,United-States,<=50K
3,Private,141944,Assoc-voc,11,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,1,2,United-States,<=50K
1,Private,37070,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,,204226,Some-college,10,Never-married,,Unmarried,White,Female,0,0,1,United-States,<=50K
