f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,clase
0.0552545,0.0528192,-0.533701,0.0599261,0.0600451,0.0639467,0.0569294,0.0591337,0.058199,0.0598903,0.0639366,0.0826802,0.0461989,0.0578111,0.0483804,-0.476001,0.0572869,-0.304055,0.0596411,-0.00268756,0.0685203,0.0598262,-0.381058,0.0609914,0.0606047,0.0744823,0.597768,0.0663295,0.0596272,0.0648398,0.0731621,0.0687065,0.0489356,-0.334343,0.05993,0.0613674,0.0462818,0.0567528,0.0571077,0.0602933,0.412466,0.0583823,0.0529583,0.0324051,0.0599418,0.059784,0.0679077,0.110084,0.054893,0.0605401,0
0.0478892,0.0605405,-0.393068,0.0585471,0.0601398,0.060698,0.0647652,0.0609545,0.0567864,0.0609926,0.0622143,-0.339919,0.0669919,0.0605165,0.0597126,-0.238451,0.0586218,-0.179368,0.059553,-0.00267508,0.0610168,0.060226,-0.0813338,0.0555312,0.0601587,0.0660621,-0.131535,0.0568955,0.0598328,0.061237,0.0267359,0.0641752,0.0496925,0.453427,0.0600651,0.0602722,0.0757541,0.046692,0.0595574,0.0600762,-0.0503588,0.272496,0.0616088,0.063621,0.0599418,0.0596989,0.0598796,0.0342087,0.0401098,0.0604788,0
0.0286286,0.0385048,-0.196614,0.0595469,0.0604314,0.0635787,0.0609563,0.0620593,0.0538749,0.0599798,0.0558029,-0.0554948,0.0691024,0.0610832,0.10817,5.19085,0.0947368,0.273959,0.0596056,-0.00268615,0.0555566,0.0603522,4.12061,0.0456102,0.0609432,0.0684402,0.472633,0.0548121,0.059883,0.0644643,0.0315375,0.0618517,0.0514088,0.162912,0.060533,0.059127,0.0789235,0.0408406,0.0624848,0.0600332,0.474017,0.469093,0.0425153,0.0269555,0.0600017,0.0603474,0.0535141,0.0287992,0.0324314,0.0603128,0
0.0471338,0.0417782,-0.533615,0.0596838,0.0603343,0.0615443,0.0609971,0.0618848,0.0527764,0.0599919,0.0582281,-1.18245,0.0644769,0.0614314,0.0887214,1.4448,0.0699869,-0.00425679,0.0587658,-0.0026891,0.0536719,0.0602004,1.75433,0.0479942,0.060929,0.0693562,-0.991673,0.0585705,0.0597574,0.0732661,0.0282115,0.0651265,0.0708363,0.945059,0.0611644,0.059269,0.0554728,0.0739396,0.0612386,0.0602716,0.198465,0.497748,0.0593965,-0.00987712,0.0599418,0.0607875,0.0561604,0.0376978,0.0462205,0.0605204,0
0.0507219,0.0449281,1.91905,0.0598277,0.0600352,0.0574054,0.0691789,0.060915,0.05377,0.0611895,0.0550823,-1.20603,0.0682964,0.0563336,0.0668186,0.692488,0.0661971,-0.245648,0.0597889,-0.00267324,0.081847,0.0609494,0.207272,0.0893583,0.0609373,0.0788107,-0.858399,0.0597607,0.0598361,0.0709405,0.0447558,0.0689153,0.0447331,-0.0129446,0.0607621,0.0613947,0.0534032,0.0398741,0.0615475,0.0599404,0.226067,0.361166,0.0554911,0.0100967,0.0599418,0.0592847,0.0698048,0.0515691,0.0405776,0.0601945,0
0.0400196,0.0541985,-0.309452,0.0597687,0.0601431,0.0599852,0.0767981,0.060865,0.0615916,0.0608663,0.0605925,-0.476343,0.0612094,0.0595221,0.0644472,0.0248669,0.0609689,-0.154714,0.0608163,-0.00266443,0.0891686,0.0602443,-0.22304,0.0756316,0.0607836,0.0786025,-0.894231,0.0541243,0.0597512,0.0634597,0.00761055,0.0605697,0.0604017,0.205068,0.0602636,0.0615104,0.100776,0.0584858,0.0551832,0.0595785,-0.37011,0.291206,0.0563994,0.0693171,0.0599418,0.0589102,0.0619939,0.0332549,0.042195,0.0594482,0
0.0332049,0.0416172,-0.34405,0.0590666,0.0605325,0.0616675,0.0680484,0.0616093,0.0606313,0.0600466,0.0627791,-0.164262,0.0687229,0.0640847,0.0904818,2.68775,0.0759542,-0.000739426,0.0606464,-0.00268591,0.026331,0.0598328,2.95415,0.041192,0.0607582,0.0584401,-0.303094,0.0521212,0.0600906,0.0619954,0.0135474,0.0591707,0.065434,0.482658,0.0609966,0.058912,0.102874,0.0692432,0.0676275,0.0602719,0.125908,0.119682,0.0393139,0.0661698,0.0602987,0.0606627,0.0466027,0.026826,0.0391742,0.0592059,0
0.0284608,0.0417414,-0.101362,0.0593692,0.0603497,0.0630458,0.0661487,0.0612423,0.0598583,0.0607631,0.0617311,0.963522,0.0684514,0.0624713,0.0749862,2.26847,0.0776903,-0.268914,0.0606263,-0.00268751,0.0544998,0.05945,1.14192,0.0708879,0.0610631,0.052371,-0.425889,0.0539009,0.0605662,0.0601131,0.0191906,0.0643245,0.0500342,-0.56399,0.0606096,0.0597597,0.0888575,0.0399071,0.0636961,0.0597116,0.161021,-0.019827,0.0434865,0.0517415,0.0600851,0.0591742,0.058222,0.0244047,0.0363433,0.0605491,0
0.0402304,0.0407419,-0.320394,0.0597799,0.0603132,0.0620014,0.0609438,0.0610807,0.053742,0.0600648,0.0586454,0.113704,0.0660615,0.0627077,0.074672,1.90652,0.0738032,0.0112717,0.0593038,-0.00267852,0.0524399,0.0613049,1.41222,0.0569849,0.0607478,0.0730209,-0.924806,0.0583792,0.0596615,0.0677425,0.0641534,0.0660836,0.0532185,-0.800169,0.0607217,0.0605133,0.0528791,0.0481772,0.0627421,0.0602016,0.387102,0.143369,0.0475446,0.013021,0.0599418,0.0602428,0.0630418,0.0366329,0.0304146,0.0604572,0
0.0346168,0.0665566,0.353256,0.0596175,0.0599376,0.0574054,0.0689264,0.0612604,0.058796,0.0612417,0.058837,-1.20393,0.0358943,0.0591877,0.0714355,-0.185881,0.058457,0.0126239,0.0599171,-0.00267598,0.0537401,0.0601138,-0.273531,0.0492716,0.0607743,0.0602375,-0.552005,0.0554806,0.0611703,0.0469276,0.0110508,0.0568881,0.0861246,1.00696,0.0605815,0.0588266,0.0943861,0.0870524,0.0549256,0.059758,-0.644471,-0.252553,0.0815168,0.0502712,0.0599418,0.0604315,0.0607098,0.0263664,0.0391982,0.0585672,0
0.0533382,0.0593081,-0.617668,0.059187,0.0599723,0.0635257,0.0655459,0.0610118,0.0570115,0.0605052,0.0580508,-0.861238,0.0493042,0.0589199,0.0661842,-0.0831021,0.0579796,0.112516,0.0593633,-0.00268054,0.0718498,0.0602173,0.0820272,0.0456796,0.0610637,0.0679745,-0.385039,0.0631071,0.0591195,0.061162,0.0476267,0.060912,0.0621578,1.04802,0.0599545,0.06131,0.0457701,0.0673348,0.0565007,0.0607155,-0.171141,0.166435,0.0696083,0.0266471,0.0599418,0.0609843,0.0661193,0.047221,0.0680904,0.0587452,0
0.0266432,0.0437609,3.78693,0.0607505,0.060135,0.0574054,0.0645918,0.0614273,0.0613423,0.0601341,0.0583563,-1.20647,0.0681723,0.0579187,0.067357,1.32307,0.0712634,-0.105253,0.0614668,-0.00268816,0.0793084,0.060112,0.65097,0.0683775,0.0608952,0.0771114,-0.218714,0.0527533,0.0610929,0.0516114,0.023522,0.0585805,0.0527036,0.25998,0.061359,0.0599713,0.0835917,0.0481883,0.0585316,0.0596044,-0.292679,-0.0965742,0.064631,0.04633,0.0599637,0.0591503,0.0648116,0.0238274,0.0330652,0.060095,0
0.046325,0.0595608,-0.61701,0.0587179,0.060042,0.0594147,0.0616068,0.0611599,0.0532997,0.060541,0.0583569,-0.72646,0.0649739,0.0573351,0.0561839,-0.552264,0.0586177,-0.202438,0.0592666,-0.00267751,0.0797962,0.0609595,-0.154549,0.057955,0.0607199,0.074504,-0.939225,0.0569761,0.0590887,0.0694206,0.0265287,0.0701731,0.0454126,0.703027,0.0612123,0.0603159,0.0631321,0.0369398,0.0562494,0.0598615,-0.229976,0.423855,0.0765024,0.0381975,0.0599418,0.0597089,0.0684963,0.0395348,0.0519022,0.0615881,0
0.0480182,0.0478491,-0.542065,0.0586603,0.0606199,0.0635218,0.0656014,0.0611494,0.0613956,0.0600522,0.0602846,-0.411785,0.0678152,0.0589537,0.0658845,0.389085,0.0624611,0.135179,0.0597036,-0.00268304,0.115269,0.0605296,0.534024,0.0598894,0.0607947,0.0772711,-0.883834,0.0581871,0.059413,0.0703058,0.0249528,0.0616497,0.0469355,0.387038,0.060293,0.0593172,0.0628842,0.0314778,0.056286,0.0599463,1.08968,2.02374,0.0295862,0.0397841,0.0599645,0.0592572,0.0378976,0.0501258,0.0407322,0.0596468,0
0.028916,0.0448416,-0.383396,0.0592688,0.0602941,0.0644259,0.0665684,0.0605358,0.060858,0.0606834,0.0619664,1.96678,0.0669261,0.0616649,0.0587689,0.798719,0.0680533,-0.28564,0.060977,-0.00267821,0.0684066,0.059926,0.465342,0.0882279,0.0609501,0.0693507,-0.90649,0.0582275,0.0596654,0.0647976,0.0354641,0.0676063,0.0501309,-1.45334,0.0605352,0.0614108,0.0690245,0.036625,0.0583638,0.0598223,0.150742,0.250917,0.0528139,0.0885012,0.0599418,0.0587499,0.0634677,0.0288002,0.0365589,0.0603144,0
0.0240266,0.0383571,-0.503574,0.0599135,0.0603127,0.0574054,0.0621872,0.0617455,0.0564157,0.0608848,0.055179,0.0246169,0.0692285,0.0586008,0.100461,5.0025,0.0997221,-0.157059,0.0606816,-0.00268755,0.0839084,0.0605018,2.71052,0.0689591,0.0605829,0.0687673,-0.814149,0.0547485,0.0602274,0.0641634,0.0256861,0.0614149,0.0481515,-0.544668,0.0609025,0.0599693,0.0758923,0.0334431,0.0651034,0.0596383,0.273591,0.233559,0.0421264,0.0332663,0.0600018,0.0592581,0.059092,0.0226411,0.030919,0.0602006,0
0.0681915,0.0445464,1.8801,0.0595292,0.0599788,0.0581233,0.0556318,0.0616532,0.0562018,0.0594742,0.0538248,-0.395234,0.0561053,0.0593552,0.0793663,1.5601,0.0645926,0.117089,0.0585406,-0.00268496,0.047471,0.0601354,2.82887,0.0267855,0.0606853,0.0488676,1.3887,0.0609239,0.0598847,0.0628218,0.0992542,0.0552358,0.0592991,0.703209,0.0602719,0.0585146,0.057864,0.0648217,0.0606927,0.0614142,0.0568077,0.228772,0.0630304,0.051335,0.0599418,0.0622387,0.0588925,0.0511321,0.0535023,0.0596568,0
0.0362597,0.0696681,-0.549375,0.0596026,0.0599852,0.0606194,0.0736382,0.0609002,0.060139,0.0608681,0.0591602,-0.147964,0.0476877,0.0581987,0.0552137,-0.58357,0.0575745,-0.198455,0.0608483,-0.00268006,0.0668775,0.0595546,-0.345912,0.0710834,0.0609609,0.062228,-0.942849,0.0586866,0.0612861,0.0467308,0.0286167,0.0642405,0.0755243,0.779563,0.0622156,0.060075,0.0799013,0.0850162,0.0527994,0.0600314,-0.63821,-0.155537,0.0870267,0.0387286,0.0599418,0.0596186,0.0672899,0.0320801,0.0342741,0.0602136,0
0.0251509,0.0775228,-0.520773,0.0595899,0.0599376,0.0620898,0.064698,0.0609281,0.06377,0.0620706,0.0598124,-0.509533,0.0640904,0.0568567,0.0640273,-0.579991,0.0565914,-0.170741,0.0621025,-0.00270859,0.0803544,0.0600464,-0.619314,0.0830827,0.0598368,0.0792712,-0.280066,0.0531704,0.0615158,0.0443672,0.0186783,0.0561266,0.0502793,0.74591,0.061129,0.0608076,0.0870136,0.0665329,0.0542968,0.0590865,-0.895304,-0.323602,0.0913244,0.045731,0.0599418,0.0586689,0.0685194,0.0274002,0.0437204,0.0595669,0
0.026405,0.0393039,-0.397832,0.0595321,0.060336,0.0640799,0.0663873,0.0615677,0.0547204,0.060543,0.0563756,0.352714,0.0691924,0.0608299,0.0911233,3.64597,0.0882915,-0.0915696,0.0603442,-0.00267906,0.0658149,0.0610174,2.34578,0.055766,0.0610386,0.0732954,-0.674032,0.0583894,0.0598272,0.0642003,0.0396925,0.0653235,0.0540533,-0.373778,0.0604811,0.0600396,0.0721937,0.0490489,0.0617813,0.0599154,0.210451,0.279597,0.050112,0.0217275,0.0599571,0.0598132,0.0601139,0.0262541,0.0319788,0.0608761,0
0.0360483,0.0414066,-0.376387,0.0591595,0.060417,0.0635362,0.0674684,0.0609205,0.0565471,0.0608445,0.0620047,0.539231,0.0672844,0.0635611,0.0741982,1.93309,0.0745209,-0.240809,0.0594933,-0.0026775,0.0532846,0.0601127,1.70411,0.0604715,0.0610748,0.071893,-0.695726,0.0569906,0.0592303,0.0688331,0.0444343,0.0672716,0.0527713,-0.893511,0.0604221,0.060786,0.0580676,0.042701,0.065517,0.060205,0.53754,0.553237,0.0429437,0.0114916,0.0599738,0.0597829,0.0564777,0.0378874,0.0387299,0.0601135,0
0.0309139,0.0387854,-0.471736,0.0593792,0.0602932,0.0650176,0.0695303,0.0617745,0.052474,0.0610628,0.055408,0.966479,0.0692129,0.0590648,0.090693,3.75177,0.0897426,-0.152406,0.0589817,-0.00267848,0.073311,0.0610378,2.5357,0.0594806,0.0609847,0.0736332,-0.824457,0.056133,0.0597738,0.0683374,0.0484733,0.0651838,0.0487528,-1.07823,0.0611933,0.0605293,0.0747574,0.0315971,0.0663107,0.0599288,0.583594,0.42848,0.0438745,0.0142795,0.059956,0.059813,0.0620858,0.0254638,0.0317857,0.0602257,0
0.0443034,0.0463827,-0.175893,0.0604875,0.0599577,0.0601113,0.058541,0.0601966,0.0549415,0.0602575,0.0574379,0.527641,0.0632019,0.05629,0.0570429,0.239658,0.0620673,-0.300284,0.0596831,-0.00267586,0.0816637,0.0608025,0.0118253,0.0718618,0.0609801,0.0754179,-0.892352,0.0609489,0.0598541,0.06725,0.0720696,0.0660014,0.0466206,-0.492429,0.0604043,0.0608947,0.0502186,0.0355931,0.0600499,0.0597969,0.370267,0.182109,0.0557519,0.0068869,0.0599418,0.0597552,0.0723687,0.0692304,0.0576368,0.0604222,0
0.0498064,0.0552524,-0.551675,0.0582513,0.0605633,0.0628532,0.060442,0.0605997,0.0626186,0.0604846,0.0713875,2.02511,0.0664723,0.0637284,0.0527434,-0.287202,0.0610019,-0.29027,0.0600198,-0.00269768,0.0395512,0.0594046,-0.193272,0.0907383,0.0607928,0.0484912,-0.697708,0.0583593,0.0597629,0.062059,0.0138203,0.0703894,0.04575,-1.28036,0.0596119,0.0595097,0.0678535,0.031081,0.0661179,0.0597457,0.0926888,0.449221,0.0426706,0.0875847,0.0602994,0.0585603,0.0546416,0.0258166,0.0317108,0.0619263,0
0.0417364,0.0420973,-0.582039,0.0595714,0.0602055,0.057525,0.0644221,0.0612972,0.0531096,0.0600958,0.0555212,-1.05325,0.0668756,0.0575484,0.0761004,1.35381,0.0712204,-0.22259,0.0597353,-0.00267979,0.0654912,0.0607389,1.78218,0.0535385,0.0608549,0.0762095,0.305583,0.0568389,0.0594707,0.0683674,0.0487508,0.0679166,0.0471535,0.395643,0.0608403,0.0599855,0.069652,0.0255476,0.059043,0.0602531,0.0471255,0.416572,0.0646515,-0.00383879,0.0599418,0.060328,0.0670157,0.0401811,0.031584,0.0611543,0
0.0458756,0.0517155,0.0855513,0.0595762,0.0600479,0.0574054,0.0667768,0.0608337,0.0566858,0.0610053,0.0594239,-1.20712,0.0664421,0.0642625,0.0642011,0.17693,0.061256,-0.150096,0.0598303,-0.00267528,0.0592719,0.0607275,0.215472,0.0484655,0.0602397,0.0781946,1.04482,0.0574975,0.0592839,0.0666645,0.0306209,0.0628384,0.059629,0.236158,0.0607274,0.0614623,0.0713691,0.0570043,0.0590924,0.0600402,-0.137949,0.0617222,0.0562879,0.0241787,0.0599418,0.060166,0.0625551,0.0317878,0.034937,0.0596405,0
0.0299456,0.0518018,-0.0994846,0.0594719,0.0601414,0.0574054,0.0672563,0.0611185,0.0637981,0.0611926,0.0590512,-0.00934212,0.0531771,0.0608025,0.0639971,0.290835,0.061876,0.0518368,0.0612496,-0.00268821,0.0536276,0.0596237,0.251122,0.057809,0.0605338,0.0577093,0.401824,0.0537285,0.0615611,0.0459238,0.048337,0.0588574,0.0668133,0.654656,0.0616166,0.0606761,0.095906,0.0687965,0.0552786,0.059871,-0.754879,-0.247765,0.0915399,0.0980247,0.0599418,0.0598716,0.0628819,0.0209723,0.0385188,0.0581295,0
0.0417126,0.0452878,-0.539068,0.0595089,0.060164,0.0631884,0.0623403,0.0606257,0.0568252,0.060616,0.0584113,0.218911,0.0664419,0.0582502,0.0623591,0.701649,0.0657837,-0.238393,0.0596852,-0.0026746,0.0817726,0.0603685,0.659328,0.0690225,0.0606354,0.0756378,-0.892459,0.0589166,0.0594304,0.0719168,0.0487244,0.0684121,0.0440663,-0.36734,0.0606532,0.0610913,0.0618006,0.0208915,0.0601479,0.0599508,0.301883,0.61464,0.0511466,0.0275177,0.0599418,0.059414,0.0674136,0.0524897,0.0498694,0.060433,0
0.0432926,0.0413847,-0.42513,0.0590066,0.0600433,0.0627995,0.069404,0.0619108,0.0535176,0.0601415,0.0561952,-0.891951,0.0684032,0.056549,0.0782288,1.50535,0.0739713,0.192799,0.0596965,-0.00268084,0.0693854,0.0613639,1.6065,0.0404911,0.0607846,0.0765307,-0.991673,0.0584094,0.0592355,0.0678553,0.0380537,0.0650789,0.0542021,0.993494,0.0609291,0.0590117,0.0666268,0.0540494,0.0599384,0.0600855,0.0324498,0.757316,0.0635236,-0.000454007,0.0599594,0.0606371,0.0651762,0.0333861,0.0420212,0.0610195,0
0.0395662,0.0398666,-0.447771,0.0601224,0.0603229,0.0643369,0.0593319,0.0616704,0.0515684,0.0598893,0.0550082,0.622665,0.0683451,0.0593533,0.0847373,2.47659,0.0742291,-0.23536,0.0580109,-0.0026822,0.0657507,0.0610995,1.40181,0.0494364,0.0610239,0.0695793,-0.605338,0.0599051,0.0599236,0.0691346,0.0801013,0.0622806,0.0470409,-0.163611,0.0606302,0.0599009,0.0549654,0.0286274,0.0648511,0.0602673,0.710416,0.457814,0.0439637,-0.00204292,0.0599566,0.060807,0.0623823,0.0542549,0.0325832,0.0598265,0
0.0449302,0.0429401,-0.605979,0.0594361,0.0602646,0.0621536,0.0641334,0.0615715,0.0569272,0.060487,0.0615749,-0.462512,0.0682088,0.0610166,0.0787535,1.44528,0.0720611,0.0811731,0.0600341,-0.0026893,0.0524079,0.0603786,1.02054,0.0622331,0.0608741,0.0760251,-0.0389783,0.0564839,0.0598621,0.0676539,0.0252099,0.0674007,0.0443672,0.342732,0.060365,0.059177,0.0698554,0.0305265,0.0646832,0.0598618,0.164477,0.568793,0.0453722,0.00467644,0.0599803,0.0597163,0.0601656,0.0334266,0.0362858,0.0609766,0
0.0336173,0.0494049,-0.37531,0.0592008,0.0603194,0.0630213,0.062923,0.0607655,0.0610619,0.0603376,0.0633858,1.06158,0.0682959,0.0614322,0.061075,0.282716,0.0639582,-0.146271,0.0610635,-0.00268143,0.0933456,0.0591619,-0.179052,0.106018,0.0605226,0.0699339,-0.652391,0.0544087,0.0599616,0.0638188,0.00338989,0.0602863,0.0520056,-0.71631,0.0599713,0.0597784,0.0688231,0.0509736,0.061546,0.0594162,0.185815,0.674725,0.0441118,0.0300692,0.0599418,0.0582146,0.0552219,0.025348,0.0337998,0.0606721,0
0.0329521,0.0462811,-0.415599,0.0599593,0.0600401,0.0647279,0.0728276,0.0613255,0.0590798,0.0611373,0.056897,-0.427592,0.0686767,0.0573093,0.0674844,0.864678,0.0686196,0.123319,0.0610962,-0.00268343,0.0691632,0.0600113,0.433067,0.0722134,0.0608888,0.0738179,-0.793626,0.051667,0.060689,0.0540513,0.0125146,0.0614752,0.0644581,0.660153,0.0615515,0.0605842,0.0986132,0.0725992,0.0588433,0.0597287,-0.49631,-0.0543094,0.066769,0.0395762,0.0599418,0.0593956,0.0641616,0.023399,0.0335527,0.0593249,0
0.0397653,0.0474065,-0.583495,0.0593311,0.0600983,0.0658303,0.0653788,0.0612282,0.0566071,0.0617523,0.0575649,0.0441104,0.0659168,0.0578004,0.0622221,0.636042,0.0666923,-0.180916,0.0601562,-0.00267677,0.0761017,0.0610884,0.612963,0.0705421,0.0608129,0.0798609,0.134858,0.0589806,0.0596833,0.0644483,0.0324683,0.0628733,0.0544413,0.1358,0.0606579,0.0612213,0.0606109,0.0537841,0.0622943,0.0599953,-0.0626503,0.123599,0.0500092,0.0363241,0.0599418,0.0594183,0.0672571,0.0274666,0.0344239,0.0598328,0
0.0439109,0.0468435,3.03834,0.0585543,0.0605373,0.0574054,0.061038,0.0616627,0.0606594,0.0590903,0.0666233,-0.940664,0.068977,0.0651003,0.071445,0.842452,0.0654998,0.15494,0.0596827,-0.00268891,0.0174128,0.0599822,1.35054,0.0351346,0.0605081,0.0499918,-0.139962,0.0544032,0.0592545,0.0579422,0.00281126,0.0603365,0.0786002,0.761167,0.060094,0.0588768,0.0688996,0.0837366,0.0625005,0.0604701,0.168544,0.145376,0.0405493,0.0885619,0.0603416,0.0606524,0.0437622,0.0325158,0.035802,0.0599649,0
0.0294,0.0379031,-0.231736,0.0598477,0.060226,0.0638837,0.0618996,0.0619381,0.0483714,0.0602424,0.0531599,-0.141603,0.0691845,0.0586878,0.112631,4.6425,0.0929964,-0.164094,0.0583985,-0.00268543,0.0594252,0.0618709,3.51879,0.0504394,0.0610328,0.0699668,-0.499217,0.0574975,0.0598117,0.0667246,0.0630499,0.0649117,0.0480452,-0.130022,0.0606831,0.0598504,0.061655,0.0311989,0.0656434,0.060183,0.468493,0.18601,0.0460101,-0.0193175,0.0599555,0.060528,0.063009,0.0456429,0.0316631,0.060821,0
